SPECIMEN_REFERENCE_DNA_NO,RECEIVED_SCALES,RECEIVED_DNA,RECEIVED_OTOLITH,READ_SCALES,READ_DNA,READ_OTOLITH,OTOLITH_LAB_NUMBER,SCALE_SUBMISSION_NUMBER,PROGRAM,BIOKEY,ID2,FISH_NO,AREA_NAME,REFERENCE_NO,YEAR,MONTH,COLLECTION_DATE,DAYOFYEAR,SAMPLE_TYPE,AREA,SUBAREA,FISHING_LOCATION,SAMPLER_NAME,SAMPLER_TYPE,SAMPLER_ID,LANDING_SITE,GUIDED,SPECIES,DISPOSITION,SIZE_CAT,ADIPOSE_FIN_CLIPPED,LENGTH_MM,MGMT_SIZE_3,MGMT_SIZE_2,SEX,RESOLVED_STOCK_ORIGIN,RESOLVED_STOCK_ROLLUP,RESOLVED_STOCK_SOURCE,HATCHERY_ORIGIN,RESOLVED_AGE,OTOLITH_BOX,OTOLITH_SPECIMEN,FACILITY,THERMALMARK,OTO_STOCK,OTOLITH_RESOLVED_RESULT,SCALE_BOOK,SCALE_NO,SCALE_SOURCE,SCALE_FORMAT,AGE_GR,PART_AGE_CODE,CWT_HEAD_LABEL,CWT_RESULT,CWT_REGION,CWT_BROOD_YEAR,DNA_CONTAINER_TYPE,PBT_BROOD_YEAR,PBT_SEX,RESOLVED_STOCK_REGION,DNA_RESULTS_STOCK_1,REGION_1_NAME,REGION_1_ROLLUP,PROB_1,DNA_STOCK_2,REGION_2_NAME,REGION_2_ROLLUP,PROB_2,DNA_STOCK_3,REGION_3_NAME,REGION_3_ROLLUP,PROB_3,DNA_STOCK_4,REGION_4_NAME,REGION_4_ROLLUP,PROB_4,DNA_STOCK_5,REGION_5_NAME,REGION_5_ROLLUP,PROB_5,PHOTO_NO,COMMENTS,Size Class
192191,Y,Y,N/A,N/S,N/S,N/A,,,Georgia Strait,19680149560101,TRUE,TRUE,,,2023,June,2023-06-06 00:00:00,157,Sport,18,18B,Arbutus I.,Dimitri Roussinidis,Guide,1494,Logbook,Y,124,Release Cond 1,N/A,Y,390,sub legal,sub legal,Unk,Chilko River,Fraser Summer 5.2,DNA,Y,,,,,,,,1031441,9,SPORT FISHERY,,,,,,,,Whatman,0,presumed_female,Fraser Summer 5.2,CHILKO_RIVER,Chilko River,Fraser Summer 5.2,0.9999615,NECHAKO_RIVER,Nechako River,Fraser Summer 5.2,0.0000376,WEST_ROAD_BLACKWATER_RIVER,West Road (Blackwater) River,Fraser Spring 5.2,0.0000009,WEST_ROAD_BLACKWATER_RIVER,Elkin Creek,Fraser Summer 5.2,0.0000001,WEST_ROAD_BLACKWATER_RIVER,,,,,,Sub-Legal
192192,Y,Y,N/A,N/S,N/S,N/A,,,Georgia Strait,19680149560202,TRUE,TRUE,,,2023,June,2023-06-06 00:00:00,157,Sport,19,19A,Wain Rock,Dimitri Roussinidis,Guide,1494,Logbook,Y,124,Release Cond 1,N/A,Y,410,sub legal,sub legal,Unk,Harrison River,Fraser Fall,DNA,Y,,,,,,,,1031441,10,SPORT FISHERY,,,,,,,,Whatman,0,presumed_female,Fraser Fall,HARRISON_RIVER,Harrison River,Fraser Fall,0.9969971,CHILLIWACK_RIVER_FALL,"Chilliwack River ""Fall Run""",Fraser Fall,0.0029951,STAVE_RIVER,Stave River,Fraser Fall,0.0000076,STAVE_RIVER,Capilano River,Fraser Fall,0.0000002,STAVE_RIVER,,,,,,Sub-Legal
192193,Y,Y,N/A,N/S,N/S,N/A,,,Georgia Strait,19680149560303,TRUE,TRUE,,,2023,June,2023-06-06 00:00:00,157,Sport,19,19A,Wain Rock,Dimitri Roussinidis,Guide,1494,Logbook,Y,124,Release Cond 1,N/A,N,570,sub legal,sub legal,Unk,Nooksack River,Puget Sound,DNA,,,,,,,,,1031448,1,SPORT FISHERY,,,,,,,,Whatman,0,presumed_female,Puget Sound,NOOKSACK_RIVER,Nooksack River,Puget Sound,0.9991518,SNOHOMISH_RIVER,Snohomish River,Puget Sound,0.0003751,SOOS_CREEK,Soos Creek Hatchery,Puget Sound,0.0002841,SOOS_CREEK,"Green River ""Fall Run""",Puget Sound,0.0001036,SOOS_CREEK,Skykomish River,Puget Sound,0.0000854,,,Sub-Legal
192194,Y,Y,N/A,N/S,N/S,N/A,,,Georgia Strait,19680149620101,TRUE,TRUE,,,2023,June,2023-06-07 00:00:00,158,Sport,18,18B,Arbutus I.,Jacob Hopkins,Guide,1616,Logbook,Y,124,Release Cond 2,N/A,N,430,sub legal,sub legal,Unk,Cowichan River,ECVI Fall,DNA,,,,,,,,,1031448,2,SPORT FISHERY,,,,,,,,Whatman,0,male,ECVI Fall,COWICHAN_RIVER,Cowichan River,ECVI Fall,0.9998218,NANAIMO_RIVER_FALL,Nanaimo River,ECVI Fall,0.0001664,QUALICUM_RIVER,Big Qualicum River,ECVI Fall,0.0000055,QUALICUM_RIVER,Puntledge River,ECVI Fall,0.0000047,QUALICUM_RIVER,Little Qualicum River,ECVI Fall,0.0000016,,,Sub-Legal
192195,Y,Y,N/A,N/S,N/S,N/A,,,Georgia Strait,19680149620202,TRUE,TRUE,,,2023,June,2023-06-07 00:00:00,158,Sport,18,18B,Arbutus I.,Jacob Hopkins,Guide,1616,Logbook,Y,124,Release Cond 1,N/A,Y,340,sub legal,sub legal,Unk,Cowichan River,ECVI Fall,DNA,Y,,,,,,,,1031448,3,SPORT FISHERY,,,,,,,,Whatman,0,male,ECVI Fall,COWICHAN_RIVER,Cowichan River,ECVI Fall,0.9999591,QUALICUM_RIVER,Big Qualicum River,ECVI Fall,0.000025,LITTLE_QUALICUM_RIVER,Little Qualicum River,ECVI Fall,0.0000134,LITTLE_QUALICUM_RIVER,Puntledge River,ECVI Fall,0.0000023,LITTLE_QUALICUM_RIVER,Nanaimo River,ECVI Fall,0.0000002,,,Sub-Legal
192196,Y,Y,N/A,N/S,N/S,N/A,,,Georgia Strait,19680149620303,TRUE,TRUE,,,2023,June,2023-06-07 00:00:00,158,Sport,18,18B,Arbutus I.,Jacob Hopkins,Guide,1616,Logbook,Y,124,Release Cond 3,N/A,Y,320,sub legal,sub legal,Unk,"Green River ""Fall Run""",Puget Sound,DNA,Y,,,,,,,,1031448,4,SPORT FISHERY,,,,,,,,Whatman,0,presumed_female,Puget Sound,GREEN_RIVER-KENDAL,"Green River ""Fall Run""",Puget Sound,0.6080299,SOOS_CREEK,Soos Creek Hatchery,Puget Sound,0.2411792,SNOHOMISH_RIVER,Snohomish River,Puget Sound,0.1138741,SNOHOMISH_RIVER,Big Qualicum River,ECVI Fall,0.0210931,SNOHOMISH_RIVER,Skykomish River,Puget Sound,0.0086664,,,Sub-Legal
192197,Y,Y,N/A,N/S,N/S,N/A,,,Georgia Strait,19680149620404,TRUE,TRUE,,,2023,June,2023-06-07 00:00:00,158,Sport,19,19A,Wain Rock,Jacob Hopkins,Guide,1616,Logbook,Y,124,Release Cond 3,N/A,N,340,sub legal,sub legal,Unk,Cowichan River,ECVI Fall,DNA,,,,,,,,,1031448,5,SPORT FISHERY,,,,,,,,Whatman,0,male,ECVI Fall,COWICHAN_RIVER,Cowichan River,ECVI Fall,0.9999082,NANAIMO_RIVER_FALL,Nanaimo River,ECVI Fall,0.0000438,PUNTLEDGE_RIVER_FALL,Puntledge River,ECVI Fall,0.0000179,PUNTLEDGE_RIVER_FALL,Little Qualicum River,ECVI Fall,0.0000155,PUNTLEDGE_RIVER_FALL,Big Qualicum River,ECVI Fall,0.0000127,,,Sub-Legal
192198,Y,Y,N/A,N/S,N/S,N/A,,,Georgia Strait,19680149620505,TRUE,TRUE,,,2023,June,2023-06-07 00:00:00,158,Sport,19,19A,Patricia Bay,Jacob Hopkins,Guide,1616,Logbook,Y,124,Release Cond 1,N/A,Y,460,sub legal,sub legal,Unk,Soos Creek Hatchery,Puget Sound,DNA,Y,,,,,,,,1031448,6,SPORT FISHERY,,,,,,,,Whatman,0,male,Puget Sound,SOOS_CREEK,Soos Creek Hatchery,Puget Sound,0.9792804,GREEN_RIVER,"Green River ""Fall Run""",Puget Sound,0.0204162,SNOHOMISH_RIVER,Snohomish River,Puget Sound,0.0002945,SNOHOMISH_RIVER,"Green River ""Fall Run""",Puget Sound,0.0000089,SNOHOMISH_RIVER,,,,,,Sub-Legal
192199,Y,Y,N/A,N/S,N/S,N/A,,,Georgia Strait,19680149620606,TRUE,TRUE,,,2023,June,2023-06-07 00:00:00,158,Sport,18,18B,Arbutus I.,Jacob Hopkins,Guide,1616,Logbook,Y,124,Release Cond 1,N/A,Y,510,sub legal,sub legal,Unk,"Green River ""Fall Run""",Puget Sound,DNA,Y,,,,,,,,1031448,7,SPORT FISHERY,,,,,,,,Whatman,0,presumed_female,Puget Sound,GREEN_RIVER,"Green River ""Fall Run""",Puget Sound,0.7155949,SOOS_CREEK,Soos Creek Hatchery,Puget Sound,0.2323235,GREEN_RIVER-KENDAL,"Green River ""Fall Run""",Puget Sound,0.0518665,GREEN_RIVER-KENDAL,Snohomish River,Puget Sound,0.0002143,GREEN_RIVER-KENDAL,,,0.0000008,,,Sub-Legal
192200,Y,Y,N/A,N/S,N/S,N/A,,,Georgia Strait,19680149620707,TRUE,TRUE,,,2023,June,2023-06-07 00:00:00,158,Sport,18,18B,Arbutus I.,Jacob Hopkins,Guide,1616,Logbook,Y,124,Release Cond 1,N/A,N,380,sub legal,sub legal,Unk,Cowichan River,ECVI Fall,DNA,,,,,,,,,1031448,8,SPORT FISHERY,,,,,,,,Whatman,0,presumed_female,ECVI Fall,COWICHAN_RIVER,Cowichan River,ECVI Fall,0.9999956,NANAIMO_RIVER_FALL,Nanaimo River,ECVI Fall,0.0000039,LITTLE_QUALICUM_RIVER,Little Qualicum River,ECVI Fall,0.0000003,LITTLE_QUALICUM_RIVER,Big Qualicum River,ECVI Fall,0.0000001,LITTLE_QUALICUM_RIVER,,,,,,Sub-Legal
211343,Y,N-Lost,N/A,N/S,N/S,N/A,,,Georgia Strait,19680149530101,TRUE,TRUE,,,2023,June,2023-06-06 00:00:00,157,Sport,18,18B,Arbutus I.,Jason Assonitis,Guide,308,Logbook,Y,124,Release Cond 1,N/A,N,560,sub legal,sub legal,Unk,,,,,,,,,,,,1031422,3,SPORT FISHERY,,,,,,,,Whatman,0,unknown (Insufficient amplification),No sample,NO SAMPLE,No sample,No sample,0,,,,,,,,,,,,,,,,,,,Sub-Legal
211344,Y,Y,N/A,N/S,N/S,N/A,,,Georgia Strait,19680149530202,TRUE,TRUE,,,2023,June,2023-06-06 00:00:00,157,Sport,18,18B,Arbutus I.,Jason Assonitis,Guide,308,Logbook,Y,124,Release Cond 2,N/A,Y,550,sub legal,sub legal,Unk,Soos Creek Hatchery,Puget Sound,DNA,Y,,,,,,,,1031422,4,SPORT FISHERY,,,,,,,,Whatman,0,presumed_female,Puget Sound,SOOS_CREEK,Soos Creek Hatchery,Puget Sound,0.9796832,GREEN_RIVER-KENDAL,"Green River ""Fall Run""",Puget Sound,0.0200755,GREEN_RIVER,"Green River ""Fall Run""",Puget Sound,0.0002366,GREEN_RIVER,Snohomish River,Puget Sound,0.0000045,GREEN_RIVER,Skykomish River,Puget Sound,0.0000002,,,Sub-Legal
211345,Y,Y,N/A,N/S,N/S,N/A,,,Georgia Strait,19680149530303,TRUE,TRUE,,,2023,June,2023-06-06 00:00:00,157,Sport,18,18B,Arbutus I.,Jason Assonitis,Guide,308,Logbook,Y,124,Release Cond 3,N/A,N,350,sub legal,sub legal,Unk,Cowichan River,ECVI Fall,DNA,,,,,,,,,1031422,5,SPORT FISHERY,,,,,,,,Whatman,0,male,ECVI Fall,COWICHAN_RIVER,Cowichan River,ECVI Fall,0.9948431,CHEMAINUS_RIVER,Chemainus River,ECVI Fall,0.0036663,NANAIMO_RIVER_FALL,Nanaimo River,ECVI Fall,0.001309,NANAIMO_RIVER_FALL,Big Qualicum River,ECVI Fall,0.0001167,NANAIMO_RIVER_FALL,Little Qualicum River,ECVI Fall,0.0000501,,,Sub-Legal
211346,Y,Y,N/A,N/S,N/S,N/A,,,Georgia Strait,19680149530404,TRUE,TRUE,,,2023,June,2023-06-06 00:00:00,157,Sport,18,18B,Arbutus I.,Jason Assonitis,Guide,308,Logbook,Y,124,Release Cond 1,N/A,Y,550,sub legal,sub legal,Unk,Skykomish River,Puget Sound,DNA,Y,,,,,,,,1031422,6,SPORT FISHERY,,,,,,,,Whatman,0,presumed_female,Puget Sound,SKYKOMISH_RIVER,Skykomish River,Puget Sound,0.8872006,SNOHOMISH_RIVER,Snohomish River,Puget Sound,0.112642,SKAGIT_RIVER,Skagit River,Puget Sound,0.0001558,SKAGIT_RIVER,Soos Creek Hatchery,Puget Sound,0.000001,SKAGIT_RIVER,Nooksack River,Puget Sound,0.0000004,,,Sub-Legal
211347,Y,Y,N/A,N/S,N/S,N/A,,,Georgia Strait,19680149530505,TRUE,TRUE,,,2023,June,2023-06-06 00:00:00,157,Sport,18,18B,Arbutus I.,Jason Assonitis,Guide,308,Logbook,Y,124,Release Cond 2,N/A,N,390,sub legal,sub legal,Unk,Cowichan River,ECVI Fall,DNA,,,,,,,,,1031422,7,SPORT FISHERY,,,,,,,,Whatman,0,presumed_female,ECVI Fall,COWICHAN_RIVER,Cowichan River,ECVI Fall,0.9978271,LITTLE_QUALICUM_RIVER,Little Qualicum River,ECVI Fall,0.0015139,QUALICUM_RIVER,Big Qualicum River,ECVI Fall,0.0006219,QUALICUM_RIVER,Puntledge River,ECVI Fall,0.000037,QUALICUM_RIVER,,,0.0000001,,,Sub-Legal
211348,Y,Y,N/A,N/S,N/S,N/A,,,Georgia Strait,19680149530606,TRUE,TRUE,,,2023,June,2023-06-06 00:00:00,157,Sport,18,18B,Arbutus I.,Jason Assonitis,Guide,308,Logbook,Y,124,Release Cond 1,N/A,N,290,sub legal,sub legal,Unk,Cowichan River,ECVI Fall,DNA,,,,,,,,,1031422,8,SPORT FISHERY,,,,,,,,Whatman,0,presumed_female,ECVI Fall,COWICHAN_RIVER,Cowichan River,ECVI Fall,0.9982023,LITTLE_QUALICUM_RIVER,Little Qualicum River,ECVI Fall,0.001485,QUALICUM_RIVER,Big Qualicum River,ECVI Fall,0.0003006,QUALICUM_RIVER,Puntledge River,ECVI Fall,0.0000112,QUALICUM_RIVER,Nanaimo River,ECVI Fall,0.0000009,,,Sub-Legal
211349,Y,Y,N/A,N/S,N/S,N/A,,,Georgia Strait,19680149530707,TRUE,TRUE,,,2023,June,2023-06-06 00:00:00,157,Sport,18,18B,Isabella Pt.,Jason Assonitis,Guide,308,Logbook,Y,124,Release Cond 2,N/A,Y,300,sub legal,sub legal,Unk,Cowichan River,ECVI Fall,DNA,Y,,,,,,,,1031422,9,SPORT FISHERY,,,,,,,,Whatman,2021,male,ECVI Fall,COWICHAN_RIVER,Cowichan River,ECVI Fall,1,,,,,,,,,,,,,,,,,,,Sub-Legal
211350,Y,Y,N/A,N/S,N/S,N/A,,,Georgia Strait,19680149530808,TRUE,TRUE,,,2023,June,2023-06-06 00:00:00,157,Sport,18,18A,Bold Bluff Pt.,Jason Assonitis,Guide,308,Logbook,Y,124,Release Cond 1,N/A,N,500,sub legal,sub legal,Unk,Soos Creek Hatchery,Puget Sound,DNA,,,,,,,,,1031422,10,SPORT FISHERY,,,,,,,,Whatman,0,male,Puget Sound,SOOS_CREEK,Soos Creek Hatchery,Puget Sound,0.9943429,GREEN_RIVER,"Green River ""Fall Run""",Puget Sound,0.0028432,SNOHOMISH_RIVER,Snohomish River,Puget Sound,0.002717,SNOHOMISH_RIVER,"Green River ""Fall Run""",Puget Sound,0.0000969,SNOHOMISH_RIVER,,,,,,Sub-Legal
211351,Y,Y,N/A,N/S,N/S,N/A,,,Georgia Strait,19680149530909,TRUE,TRUE,,,2023,June,2023-06-06 00:00:00,157,Sport,18,18A,Burial Its.,Jason Assonitis,Guide,308,Logbook,Y,124,Release Cond 1,N/A,Y,420,sub legal,sub legal,Unk,Soos Creek Hatchery,Puget Sound,DNA,Y,,,,,,,,1041564,1,SPORT FISHERY,,,,,,,,Whatman,0,male,Puget Sound,SOOS_CREEK,Soos Creek Hatchery,Puget Sound,0.9992384,GREEN_RIVER,"Green River ""Fall Run""",Puget Sound,0.0005448,GREEN_RIVER-KENDAL,"Green River ""Fall Run""",Puget Sound,0.0001773,GREEN_RIVER-KENDAL,Snohomish River,Puget Sound,0.0000393,GREEN_RIVER-KENDAL,Skykomish River,Puget Sound,0.0000001,,,Sub-Legal
211352,Y,Y,N/A,N/S,N/S,N/A,,,Georgia Strait,19680149531010,TRUE,TRUE,,,2023,June,2023-06-06 00:00:00,157,Sport,18,18A,Burial Its.,Jason Assonitis,Guide,308,Logbook,Y,124,Release Cond 3,N/A,N,440,sub legal,sub legal,Unk,Nooksack River,Puget Sound,DNA,,,,,,,,,1041564,2,SPORT FISHERY,,,,,,,,Whatman,0,male,Puget Sound,NOOKSACK_RIVER,Nooksack River,Puget Sound,0.9999841,SNOHOMISH_RIVER,Snohomish River,Puget Sound,0.0000158,SKYKOMISH_RIVER,Skykomish River,Puget Sound,0.0000001,SKYKOMISH_RIVER,,,,SKYKOMISH_RIVER,,,,,,Sub-Legal
211354,Y,Y,N/A,N/S,N/S,N/A,,,Georgia Strait,19680149590101,TRUE,TRUE,,,2023,June,2023-06-07 00:00:00,158,Sport,18,18B,Arbutus I.,Jason Assonitis,Guide,308,Logbook,Y,124,Release Cond 3,N/A,Y,340,sub legal,sub legal,Unk,Soos Creek Hatchery,Puget Sound,DNA,Y,,,,,,,,1041564,4,SPORT FISHERY,,,,,,,,Whatman,0,male,Puget Sound,SOOS_CREEK,Soos Creek Hatchery,Puget Sound,0.9998437,GREEN_RIVER,"Green River ""Fall Run""",Puget Sound,0.0001535,GREEN_RIVER-KENDAL,"Green River ""Fall Run""",Puget Sound,0.0000027,GREEN_RIVER-KENDAL,,,,GREEN_RIVER-KENDAL,,,,,,Sub-Legal
