Assigning lat-longs to AA/CREST biological sample data,,,,,,,,,,,,,,
issue:  many locations used in logs and by observers are not listed in CREST and so don't have any ability to geo-reference.   The yellow is the proposed work to identify lat-longs for each location used.,,,,,,,,,,,,,,
there were about 780 such location names.   Cursory review identified suitable locations for about 300.   480 location names remain which need some lat-longs.,,,,,,,,,,,,,,
the task is to fill in the 480 blank or #NA rows in columns K-O.   Or at least as many as possible.   Some will not be possible. ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,2,4,3,5,6,7,8,9,10,4,11,12,13,
11.Nahwitti Bar,Nahwitti Bar,11,11A,3,#N/A,#N/A,#N/A,#N/A,Nahwitti Bar Area 11,11,11A,-128.035183,50.90476489,
11.Nahwitti Bar Area 11,Nahwitti Bar Area 11,11,11A,3,Nahwitti Bar Area 11,11A,-128.035183,50.90476489,Nahwitti Bar Area 11,11,11A,-128.035183,50.90476489,
11.Nash Rock,Nash Rock,11,11A,9,#N/A,#N/A,#N/A,#N/A,,,,,,
11.Shuttleworth,Shuttleworth,11,11A,40,#N/A,#N/A,#N/A,#N/A,,,,,,
11.Sutil,Sutil,11,11A,122,#N/A,#N/A,#N/A,#N/A,Cape Sutil,11,11A,-128.047942,50.885933,
11.Thomlinson,Thomlinson,11,11A,3,#N/A,#N/A,#N/A,#N/A,#N/A,11,#N/A,-,-,
11.Bremner,Bremner,11,11B,292,Bremner,11B,-127.6791573,51.10740218,Bremner,11,11B,-127.6791573,51.10740218,
11.Burnett Bay,Burnett Bay,11,11B,18,Burnett Bay,11B,-127.689314,51.124804,Burnett Bay,11,11B,-127.689314,51.124804,
11.Cape Caution,Cape Caution,11,11B,12,#N/A,#N/A,#N/A,#N/A,Cape Caution - South,11,11B,-127.7895355,51.16061471,
11.Cape Caution - South,Cape Caution - South,11,11B,211,Cape Caution - South,11B,-127.7895355,51.16061471,Cape Caution - South,11,11B,-127.7895355,51.16061471,
11.Cape Caution South,Cape Caution South,11,11B,6,#N/A,#N/A,#N/A,#N/A,Cape Caution - South,11,11B,-127.7895355,51.16061471,
11.Cape Cuation,Cape Cuation,11,11B,2,#N/A,#N/A,#N/A,#N/A,Cape Caution - South,11,11B,-127.7895355,51.16061471,
11.Chicken Coop,Chicken Coop,11,11B,13,Chicken Coop,11B,-127.80987,51.065913,Chicken Coop,11,11B,-127.80987,51.065913,
11.Pine Island,Pine Island,11,11B,17,Pine Island,11B,-127.7335157,50.98488075,Pine Island,11,11B,-127.7335157,50.98488075,
11.Raynor,Raynor,11,11B,7,#N/A,#N/A,#N/A,#N/A,Raynor Point,11,11B,-127.743286,51.142455,
11.Raynor Point,Raynor Point,11,11B,15,Raynor Point,11B,-127.743286,51.142455,Raynor Point,11,11B,-127.743286,51.142455,
11.Shuttleworth,Shuttleworth,11,11B,13,#N/A,#N/A,#N/A,#N/A,#N/A,11,#N/A,-,-,
11.Slingsby,Slingsby,11,11B,275,Slingsby,11B,-127.672019,51.092423,Slingsby,11,11B,-127.672019,51.092423,
11.Southgate Group,Southgate Group,11,11B,102,Southgate Group,11B,-127.543316,51.007551,Southgate Group,11,11B,-127.543316,51.007551,
11.Storm Island,Storm Island,11,11B,2,#N/A,#N/A,#N/A,#N/A,Storm Islands,11,11B,-127.7036,51.022886,
11.Storm Islands,Storm Islands,11,11B,3,Storm Islands,11B,-127.7036,51.022886,Storm Islands,11,11B,-127.7036,51.022886,
11.The Wall,The Wall,11,11B,38,The Wall,11B,-127.743286,51.142455,The Wall,11,11B,-127.743286,51.142455,
11.Tinson Islands,Tinson Islands,11,11B,59,Tinson Islands,11B,-127.529964,50.98635117,Tinson Islands,11,11B,-127.529964,50.98635117,
11.Unknown,Unknown,11,11B,1,#N/A,#N/A,#N/A,#N/A,#N/A,11,#N/A,-,-,
11.Westcott Point,Westcott Point,11,11B,1,Westcott Point,11B,-127.47773,50.97713,Westcott Point,11,11B,-127.47773,50.97713,
12.Hope Island,Hope Island,12,12-14,9,Hope Island,12A,-127.9132136,50.89118162,Hope Island,12,12A,-127.9132136,50.89118162,
12.Shuttleworth,Shuttleworth,12,12-14,3,#N/A,#N/A,#N/A,#N/A,#N/A,12,#N/A,-,-,
12.Shuttleworth Bay,Shuttleworth Bay,12,12-14,19,#N/A,#N/A,#N/A,#N/A,#N/A,12,#N/A,-,-,
12.Walker Group,Walker Group,12,12-14,1,Walker Group,12A,-127.5094827,50.902589,Walker Group,12,12A,-127.5094827,50.902589,
12.Deer Island,Deer Island,12,12-27,1,Deer Island,12A,-127.3701935,50.71011153,Deer Island,12,12A,-127.3701935,50.71011153,
12.Hoeya Head,Hoeya Head,12,12-27,5,Hoeya Head,44922,-125.9967041,50.68514781,Hoeya Head,12,44922,-125.9967041,50.68514781,
12.Bates Passage,Bates Passage,12,12A,2,Bates Passage,12A,-127.7737427,50.91580524,Bates Passage,12,12A,-127.7737427,50.91580524,
12.Beaver Harbour,Beaver Harbour,12,12A,1,Beaver Harbour,12A,-127.4176356,50.71169061,Beaver Harbour,12,12A,-127.4176356,50.71169061,
12.Castle,Castle,12,12A,17,#N/A,#N/A,#N/A,#N/A,Castle Point,12,12A,-127.4581691,50.86696034,
12.Castle Point,Castle Point,12,12A,107,Castle Point,12A,-127.4581691,50.86696034,Castle Point,12,12A,-127.4581691,50.86696034,
12.Christie Passage,Christie Passage,12,12A,2,Christie Passage,12A,-127.6051939,50.84123255,Christie Passage,12,12A,-127.6051939,50.84123255,
12.Coward's Corner,Coward's Corner,12,12A,11,Coward's Corner,12A,-127.4903872,50.74758982,Coward's Corner,12,12A,-127.4903872,50.74758982,
12.Daphne,Daphne,12,12A,6,#N/A,#N/A,#N/A,#N/A,Daphne Point,12,12A,-127.447223,50.74791873,
12.Daphne Point,Daphne Point,12,12A,237,Daphne Point,12A,-127.447223,50.74791873,Daphne Point,12,12A,-127.447223,50.74791873,
12.Deserters Group,Deserters Group,12,12A,236,Deserters Group,12A,-127.475772,50.87930475,Deserters Group,12,12A,-127.475772,50.87930475,
12.Dillon Point,Dillon Point,12,12A,7,Dillon Point,12A,-127.4031797,50.74828489,Dillon Point,12,12A,-127.4031797,50.74828489,
12.Duncan Island,Duncan Island,12,12A,3,Duncan Island,12A,-127.5429084,50.80671515,Duncan Island,12,12A,-127.5429084,50.80671515,
12.Duval,Duval,12,12A,1134,Duval,12A,-127.4838894,50.7712064,Duval,12,12A,-127.4838894,50.7712064,
12.Duval I,Duval I,12,12A,49,#N/A,#N/A,#N/A,#N/A,Duval,12,12A,-127.4838894,50.7712064,
12.Duval Point,Duval Point,12,12A,11,#N/A,#N/A,#N/A,#N/A,Duval,12,12A,-127.4838894,50.7712064,
12.Duval Pt.,Duval Pt.,12,12A,63,#N/A,#N/A,#N/A,#N/A,Duval,12,12A,-127.4838894,50.7712064,
12.Duval+ Castle,Duval+ Castle,12,12A,1,#N/A,#N/A,#N/A,#N/A,Duval,12,12A,-127.4838894,50.7712064,
12.Gordon Group,Gordon Group,12,12A,116,Gordon Group,12A,-127.4607556,50.80887139,Gordon Group,12,12A,-127.4607556,50.80887139,
12.Gordon Islands,Gordon Islands,12,12A,1,#N/A,#N/A,#N/A,#N/A,#N/A,12,#N/A,-,-,
12.Hardy Bay,Hardy Bay,12,12A,5,Hardy Bay,12A,-127.4750212,50.73230744,Hardy Bay,12,12A,-127.4750212,50.73230744,
12.Heard Island,Heard Island,12,12A,1,Heard Island,12A,-127.5056891,50.83287581,Heard Island,12,12A,-127.5056891,50.83287581,
12.Hope Island,Hope Island,12,12A,11,Hope Island,12A,-127.9132136,50.89118162,Hope Island,12,12A,-127.9132136,50.89118162,
12.Hurst Island,Hurst Island,12,12A,5,Hurst Island,12A,-127.5740676,50.84760288,Hurst Island,12,12A,-127.5740676,50.84760288,
12.Jeanette Islands,Jeanette Islands,12,12A,15,Jeanette Islands,12A,-127.4280631,50.91891596,Jeanette Islands,12,12A,-127.4280631,50.91891596,
12.Masterman Island,Masterman Island,12,12A,113,Masterman Island,12A,-127.4245631,50.76156466,Masterman Island,12,12A,-127.4245631,50.76156466,
12.Nigei Island,Nigei Island,12,12A,4,Nigei Island,12A,-127.6821365,50.9012934,Nigei Island,12,12A,-127.6821365,50.9012934,
12.Redfern I,Redfern I,12,12A,4,#N/A,#N/A,#N/A,#N/A,,,,,,
12.Richards Channel,Richards Channel,12,12A,5,Richards Channel,12A,-127.482605,50.95972423,Richards Channel,12,12A,-127.482605,50.95972423,
12.Round Island,Round Island,12,12A,1,Round Island,12A,-127.3609759,50.73017615,Round Island,12,12A,-127.3609759,50.73017615,
12.Scotia Bay,Scotia Bay,12,12A,18,Scotia Bay,12A,-127.49239,50.74437,Scotia Bay,12,12A,-127.49239,50.74437,
12.Shushartie Bay,Shushartie Bay,12,12A,2,Shushartie Bay,12A,-127.8612651,50.8588917,Shushartie Bay,12,12A,-127.8612651,50.8588917,
12.Sutil,Sutil,12,12A,5,#N/A,#N/A,#N/A,#N/A,Cape Sutil,11,11A,-128.047942,50.885933,from area 11 
12.Thomas Point,Thomas Point,12,12A,2,Thomas Point,12A,-127.3718849,50.69706779,Thomas Point,12,12A,-127.3718849,50.69706779,
12.Unknown,Unknown,12,12A,9,#N/A,#N/A,#N/A,#N/A,#N/A,12,#N/A,-,-,
12.Unspecified,Unspecified,12,12A,8,#N/A,#N/A,#N/A,#N/A,#N/A,12,#N/A,-,-,
12.Walker Group,Walker Group,12,12A,1,Walker Group,12A,-127.5094827,50.902589,Walker Group,12,12A,-127.5094827,50.902589,
12.Alert Bay,Alert Bay,12,12B,1,Alert Bay,12B,-126.9377482,50.58793878,Alert Bay,12,12B,-126.9377482,50.58793878,
12.Beaver Cove,Beaver Cove,12,12B,27,Beaver Cove,12B,-126.8506072,50.54708706,Beaver Cove,12,12B,-126.8506072,50.54708706,
12.Bere Point,Bere Point,12,12B,47,Bere Point,12B,-127.0556483,50.67130914,Bere Point,12,12B,-127.0556483,50.67130914,
12.Black Bluff,Black Bluff,12,12B,149,Black Bluff,12B,-127.0005798,50.66708993,Black Bluff,12,12B,-127.0005798,50.66708993,
12.Blinkhorn,Blinkhorn,12,12B,4,Blinkhorn,12B,-126.7817003,50.54487325,Blinkhorn,12,12B,-126.7817003,50.54487325,
12.Cormorant Island,Cormorant Island,12,12B,3,Cormorant Island,12B,-126.9203999,50.59446498,Cormorant Island,12,12B,-126.9203999,50.59446498,
12.Cracroft Point,Cracroft Point,12,12B,31,Cracroft Point,12B,-126.6796626,50.54752134,Cracroft Point,12,12B,-126.6796626,50.54752134,
12.Donegal Head,Donegal Head,12,12B,2,Donegal Head,12C,-126.8169022,50.62333062,Donegal Head,12,12C,-126.8169022,50.62333062,
12.Donegal North,Donegal North,12,12B,282,Donegal North,12B,-126.8502635,50.64371056,Donegal North,12,12B,-126.8502635,50.64371056,
12.Flower,Flower,12,12B,1,#N/A,#N/A,#N/A,#N/A,Flower Island,12,12C,-126.7069822,50.59740174,
12.George Bank,George Bank,12,12B,2,George Bank,12B,-127.0005894,50.73502485,George Bank,12,12B,-127.0005894,50.73502485,
12.Hanson Island,Hanson Island,12,12B,2,Hanson Island,12B,-126.7397306,50.56374839,Hanson Island,12,12B,-126.7397306,50.56374839,
12.Johnstone Strait,Johnstone Strait,12,12B,2,Johnstone Strait,12B,-126.5091772,50.4991178,Johnstone Strait,12,12B,-126.5091772,50.4991178,
12.Lady Ellen Point,Lady Ellen Point,12,12B,74,Lady Ellen Point,12B,-127.1301963,50.61386356,Lady Ellen Point,12,12B,-127.1301963,50.61386356,
12.Ledge Point,Ledge Point,12,12B,21,Ledge Point,12B,-127.0728825,50.60512687,Ledge Point,12,12B,-127.0728825,50.60512687,
12.Lewis Point,Lewis Point,12,12B,6,Lewis Point,12B,-126.85156,50.55127834,Lewis Point,12,12B,-126.85156,50.55127834,
12.Lizard Point,Lizard Point,12,12B,194,Lizard Point,12B,-126.8953175,50.67266495,Lizard Point,12,12B,-126.8953175,50.67266495,
12.Lizard Pt,Lizard Pt,12,12B,4,#N/A,#N/A,#N/A,#N/A,Lizard Point,12,12B,-126.8953175,50.67266495,
12.Malcolm Island,Malcolm Island,12,12B,1,Malcolm Island,12B,-126.9827271,50.64924279,Malcolm Island,12,12B,-126.9827271,50.64924279,
12.Malcolm Point,Malcolm Point,12,12B,273,Malcolm Point,12B,-127.1060063,50.67660463,Malcolm Point,12,12B,-127.1060063,50.67660463,
12.Malcolm Pt,Malcolm Pt,12,12B,15,#N/A,#N/A,#N/A,#N/A,Malcolm Point,12,12B,-127.1060063,50.67660463,
12.Mitchell Bay,Mitchell Bay,12,12B,19,Mitchell Bay,12B,-126.8575984,50.62631249,Mitchell Bay,12,12B,-126.8575984,50.62631249,
12.Pearse Islands,Pearse Islands,12,12B,1,Pearse Islands,12B,-126.888643,50.58678897,Pearse Islands,12,12B,-126.888643,50.58678897,
12.Pulteney Point,Pulteney Point,12,12B,8,Pulteney Point,12B,-127.154602,50.62712984,Pulteney Point,12,12B,-127.154602,50.62712984,
12.Robson Bight,Robson Bight,12,12B,2,Robson Bight,12B,-126.585125,50.48416097,Robson Bight,12,12B,-126.585125,50.48416097,
12.Stubbs Island,Stubbs Island,12,12B,3,Stubbs Island,12B,-126.8136255,50.60504059,Stubbs Island,12,12B,-126.8136255,50.60504059,
12.Telegraph Cove,Telegraph Cove,12,12B,9,Telegraph Cove,12B,-126.8222681,50.55212479,Telegraph Cove,12,12B,-126.8222681,50.55212479,
12.The Slide,The Slide,12,12B,2,The Slide,12B,-127.038779,50.66206915,The Slide,12,12B,-127.038779,50.66206915,
12.Trinity Bay,Trinity Bay,12,12B,9,Trinity Bay,12B,-126.9461289,50.66350521,Trinity Bay,12,12B,-126.9461289,50.66350521,
12.Unknown,Unknown,12,12B,1,#N/A,#N/A,#N/A,#N/A,#N/A,12,#N/A,-,-,
12.Wastell Pt,Wastell Pt,12,12B,15,Wastell Pt,12B,-126.8018377,50.55351801,Wastell Pt,12,12B,-126.8018377,50.55351801,
12.Baronet Passage,Baronet Passage,12,12C,33,Baronet Passage,12C,-126.6704145,50.55259786,Baronet Passage,12,12C,-126.6704145,50.55259786,
12.Blackfish Sound,Blackfish Sound,12,12C,5,Blackfish Sound,12C,-126.7261296,50.5963726,Blackfish Sound,12,12C,-126.7261296,50.5963726,
12.Bold Head,Bold Head,12,12C,45,Bold Head,12C,-126.7492971,50.62329033,Bold Head,12,12C,-126.7492971,50.62329033,
12.Donegal Hd,Donegal Hd,12,12C,1,#N/A,#N/A,#N/A,#N/A,Donegal Head,12,12C,-126.8169022,50.62333062,
12.Donegal Head,Donegal Head,12,12C,244,Donegal Head,12C,-126.8169022,50.62333062,Donegal Head,12,12C,-126.8169022,50.62333062,
12.Donegal North,Donegal North,12,12C,6,Donegal North,12B,-126.8502635,50.64371056,Donegal North,12,12B,-126.8502635,50.64371056,
12.Double Bay,Double Bay,12,12C,17,Double Bay,12C,-126.7585296,50.58854342,Double Bay,12,12C,-126.7585296,50.58854342,
12.Flower Island,Flower Island,12,12C,104,Flower Island,12C,-126.7069822,50.59740174,Flower Island,12,12C,-126.7069822,50.59740174,
12.Parson Bay,Parson Bay,12,12C,1,Parson Bay,12C,-126.6765383,50.57827082,Parson Bay,12,12C,-126.6765383,50.57827082,
12.Plumper Islands,Plumper Islands,12,12C,1,Plumper Islands,12C,-126.7902964,50.59881927,Plumper Islands,12,12C,-126.7902964,50.59881927,
12.Red Point,Red Point,12,12C,15,Red Point,12C,-126.68287,50.58538,Red Point,12,12C,-126.68287,50.58538,
12.Swanson Island,Swanson Island,12,12C,63,Swanson Island,12C,-126.7263773,50.6107124,Swanson Island,12,12C,-126.7263773,50.6107124,
12.The Wall,The Wall,12,12C,8,The Wall,12C,-126.664762,50.5584128,The Wall,12,12C,-126.664762,50.5584128,
12.The Wall (Baronet),The Wall (Baronet),12,12C,5,#N/A,#N/A,#N/A,#N/A,The Wall,12,12C,-126.664762,50.5584128,
12.Baronet Passage,Baronet Passage,12,12D,1,Baronet Passage,12C,-126.6704145,50.55259786,Baronet Passage,12,12C,-126.6704145,50.55259786,
12.Flower Island,Flower Island,12,12D,4,Flower Island,12C,-126.7069822,50.59740174,Flower Island,12,12C,-126.7069822,50.59740174,
12.Penphrase Passage,Penphrase Passage,12,12E,2,Penphrase Passage,12E,-126.5813828,50.83846776,Penphrase Passage,12,12E,-126.5813828,50.83846776,
12.Batt Bluff,Batt Bluff,12,12F,1,Batt Bluff,12F,-126.3442326,50.62888443,Batt Bluff,12,12F,-126.3442326,50.62888443,
12.Bend Island,Bend Island,12,12F,2,Bend Island,12F,-126.4390755,50.57789543,Bend Island,12,12F,-126.4390755,50.57789543,
12.Cleave Point,Cleave Point,12,12F,1,Cleave Point,12F,-126.1264801,50.74471124,Cleave Point,12,12F,-126.1264801,50.74471124,
12.Echo Bay,Echo Bay,12,12F,2,Echo Bay,12F,-126.5039423,50.75710093,Echo Bay,12,12F,-126.5039423,50.75710093,
12.Fife Sound,Fife Sound,12,12F,5,Fife Sound,12F,-126.6610382,50.77785039,Fife Sound,12,12F,-126.6610382,50.77785039,
12.Fox Group,Fox Group,12,12F,10,Fox Group,12F,-126.5903455,50.7292909,Fox Group,12,12F,-126.5903455,50.7292909,
12.Greenway Sound,Greenway Sound,12,12F,2,Greenway Sound,12F,-126.7505205,50.84886078,Greenway Sound,12,12F,-126.7505205,50.84886078,
12.Protection Pt,Protection Pt,12,12F,1,Protection Pt,12F,-126.1810435,50.65245968,Protection Pt,12,12F,-126.1810435,50.65245968,
12.Simmom Sound,Simmom Sound,12,12F,1,Simmom Sound,12F,-126.4782332,50.84793207,Simmom Sound,12,12F,-126.4782332,50.84793207,
12.Tribune Point,Tribune Point,12,12F,1,#N/A,#N/A,#N/A,#N/A,#N/A,12,#N/A,-,-,
13.Northern Strait of Georgia,Northern Strait of Georgia,13,13,14,#N/A,#N/A,#N/A,#N/A,#N/A,13,#N/A,-,-,
13.202,202,13,13-21,1,#N/A,#N/A,#N/A,#N/A,#N/A,13,#N/A,-,-,
13.Amor Point,Amor Point,13,13-21,27,Amor Point,13-21,-124.9890518,50.54010836,Amor Point,13,13-21,-124.9890518,50.54010836,
13.Amor Pt.,Amor Pt.,13,13-21,13,#N/A,#N/A,#N/A,#N/A,Amor Point,13,13-21,-124.9890518,50.54010836,
13.Amour Point,Amour Point,13,13-21,4,#N/A,#N/A,#N/A,#N/A,Amor Point,13,13-21,-124.9890518,50.54010836,
13.Amour Point (Bute Inlet),Amour Point (Bute Inlet),13,13-21,3,#N/A,#N/A,#N/A,#N/A,Amor Point,13,13-21,-124.9890518,50.54010836,
13.Arbutus Point,Arbutus Point,13,13-21,7,#N/A,#N/A,#N/A,#N/A,Arbutus Point,13,13L,-125.0548,50.3152,
13.Billy Goat,Billy Goat,13,13-21,6,#N/A,#N/A,#N/A,#N/A,Billy Goat Bay,13,13-21,-124.9793,50.5731,
13.Bute Inlet,Bute Inlet,13,13-21,110,Bute Inlet,13G,-125.0668946,50.42372873,Bute Inlet,13,13G,-125.0668946,50.42372873,
13.Clipper Point,Clipper Point,13,13-21,197,Clipper Point,13-21,-124.9468231,50.55728806,Clipper Point,13,13-21,-124.9468231,50.55728806,
13.Fawn Bluffs,Fawn Bluffs,13,13-21,46,Fawn Bluffs,13-21,-125.0665035,50.45270341,Fawn Bluffs,13,13-21,-125.0665035,50.45270341,
13.Freddie's Beach,Freddie's Beach,13,13-21,1,#N/A,#N/A,#N/A,#N/A,Freddy's Beach,13,13-21,-124.9523,50.5184,
13.Freddy's Beach,Freddy's Beach,13,13-21,11,#N/A,#N/A,#N/A,#N/A,Freddy's Beach,13,13-21,-124.9523,50.5184,
13.Goat Bay,Goat Bay,13,13-21,5,#N/A,#N/A,#N/A,#N/A,Billy Goat Bay,13,13-21,-124.9793,50.5731,
13.Lawrence Point,Lawrence Point,13,13-21,4,#N/A,#N/A,#N/A,#N/A,Lawrence Point,13,13-21,-125.0968,50.4472,
13.Lawrence Pt.,Lawrence Pt.,13,13-21,5,#N/A,#N/A,#N/A,#N/A,Lawrence Point,13,13-21,-125.0968,50.4472,
13.LOG DUMP,LOG DUMP,13,13-21,13,Log Dump,13G,-125.0938811,50.42822597,Log Dump,13,13G,-125.1068,50.434,
13.Moe Creek,Moe Creek,13,13-21,3,#N/A,#N/A,#N/A,#N/A,Moh Creek,13,13-21,-125.035056,50.507091,
13.Moh Creek,Moh Creek,13,13-21,14,Moh Creek,13-21,-125.035056,50.507091,Moh Creek,13,13-21,-125.035056,50.507091,
13.not specified,not specified,13,13-21,6,#N/A,#N/A,#N/A,#N/A,#N/A,13,#N/A,-,-,
13.Orford Bay,Orford Bay,13,13-21,13,Orford Bay,13-21,-124.8699188,50.59478893,Orford Bay,13,13-21,-124.8699188,50.59478893,
13.Orford Rock,Orford Rock,13,13-21,1,#N/A,#N/A,#N/A,#N/A,Orford Bay,13,13-21,-124.8699188,50.59478893,
13.Orford Shore,Orford Shore,13,13-21,12,#N/A,#N/A,#N/A,#N/A,Orford Bay,13,13-21,-124.8699188,50.59478893,
13.Paradise River,Paradise River,13,13-21,19,Paradise River,13-21,-124.9516296,50.5856345,Paradise River,13,13-21,-124.9516296,50.5856345,
13.Spring Creek,Spring Creek,13,13-21,4,#N/A,#N/A,#N/A,#N/A,Spring Creek,13,13G,-125.0591,50.4207,
13.Billy Goat,Billy Goat,13,13-22,3,#N/A,#N/A,#N/A,#N/A,Billy Goat Bay,13,13-21,-124.9793,50.5731,
13.bute,bute,13,13-22,7,#N/A,#N/A,#N/A,#N/A,Bute Inlet,13,13G,-125.0668946,50.42372873,
13.Bute Dump,Bute Dump,13,13-22,1,#N/A,#N/A,#N/A,#N/A,Log Dump,13,13G,-125.1068,50.434,
13.Bute Inlet,Bute Inlet,13,13-22,2,Bute Inlet,13G,-125.0668946,50.42372873,Bute Inlet,13,13G,-125.0668946,50.42372873,
13.Clipper,Clipper,13,13-22,1,#N/A,#N/A,#N/A,#N/A,Clipper Point,13,13-21,-124.9468231,50.55728806,
13.Freddie's,Freddie's,13,13-22,1,#N/A,#N/A,#N/A,#N/A,Freddy's Beach,13,13-21,-124.9523,50.5184,
13.Hovel Bay,Hovel Bay,13,13-22,39,Hovel Bay,13-22,-124.8599625,50.66730754,Hovel Bay,13,13-22,-124.8599625,50.66730754,
13.Hovell,Hovell,13,13-22,10,#N/A,#N/A,#N/A,#N/A,Hovel Bay,13,13-22,-124.8599625,50.66730754,
13.Hovell Bay,Hovell Bay,13,13-22,12,#N/A,#N/A,#N/A,#N/A,Hovel Bay,13,13-22,-124.8599625,50.66730754,
13.Orford,Orford,13,13-22,2,#N/A,#N/A,#N/A,#N/A,Orford,13,13-22,-124.8786,50.5703,
13.Orfrord North,Orfrord North,13,13-22,15,#N/A,#N/A,#N/A,#N/A,Orfrord North,13,13-22,-124.8791,50.6261,
13.Paradise,Paradise,13,13-22,1,#N/A,#N/A,#N/A,#N/A,Paradise,13,13-22,-124.9524,50.587,
13.Purcel Point,Purcel Point,13,13-22,17,Purcel Point,13-22,-124.9207306,50.80094432,Purcel Point,13,13-22,-124.9207306,50.80094432,
13.Snarr's,Snarr's,13,13-22,4,#N/A,#N/A,#N/A,#N/A,Schnarr's Beach,13,13-22,-124.8789,50.7663,
13.Fanny Bay,Fanny Bay,13,13-24,1,Fanny Bay,13-24,-125.3910828,50.52630553,Fanny Bay,13,13-24,-125.3910828,50.52630553,
13.Phillips Arm,Phillips Arm,13,13-24,6,Phillips Arm,13-24,-125.3667068,50.51233492,Phillips Arm,13,13-24,-125.3667068,50.51233492,
13.Anchor Inn,Anchor Inn,13,13C,1,#N/A,#N/A,#N/A,#N/A,Hidden Harbour,13,13M,-125.2299,50.0101,
13.April Pt.,April Pt.,13,13C,1,April Pt.,13C,-125.2298929,50.06503611,April Pt.,13,13C,-125.2298929,50.06503611,
13.CAMPBELL RIVER,CAMPBELL RIVER,13,13C,6,Campbell River,13C,-125.2371146,50.02469308,Campbell River,13,13C,-125.2371146,50.02469308,
13.Hidden Harbour,Hidden Harbour,13,13C,6,#N/A,#N/A,#N/A,#N/A,Hidden Harbour,13,13M,-125.2299,50.0101,
13.Picnic Beach,Picnic Beach,13,13C,2,Picnic Beach,13C,-125.2059958,50.02342795,Picnic Beach,13,13C,-125.2059958,50.02342795,
13.Tyee Pool,Tyee Pool,13,13C,3,#N/A,#N/A,#N/A,#N/A,Tyee Spit,13,13C,-125.2450097,50.04560853,
13.Tyee Spit,Tyee Spit,13,13C,1,Tyee Spit,13C,-125.2450097,50.04560853,Tyee Spit,13,13C,-125.2450097,50.04560853,
13.Plunger Pass,Plunger Pass,13,13D,1,Plunger Pass,13D,-125.0805834,50.11187836,Plunger Pass,13,13D,-125.0805834,50.11187836,
13.Read Island,Read Island,13,13D,4,#N/A,#N/A,#N/A,#N/A,Read Island,13,13D,-125.1292,50.1258,
13.Rebecca Spit,Rebecca Spit,13,13D,19,Rebecca Spit,13D,-125.180316,50.10659637,Rebecca Spit,13,13D,-125.180316,50.10659637,
13.Wa Wa Kie,Wa Wa Kie,13,13D,1,Wa Wa Kie,13D,-125.156153,50.042974,Wa Wa Kie,13,13D,-125.156153,50.042974,
13.Bodega Pt.,Bodega Pt.,13,13E,6,Bodega Pt.,13E,-125.3696124,50.24649653,Bodega Pt.,13,13E,-125.3696124,50.24649653,
13.Brown Bay,Brown Bay,13,13E,321,Brown Bay,13E,-125.3696124,50.16215363,Brown Bay,13,13E,-125.3696124,50.16215363,
